11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
massive thread of hope, 33 Prosperity, 20 priceless contract, 4 hour a10 any duelist, 10 corrupted 6 links, 3 forbidden shako, ancestral vision, 17 The Dragon, 333 quant t17, each unique heist contract, i85 wyvernscale gauntlets boots haunted bascinet, 1 each relic base type, kill kitava, 20 maps main skill tagged projectile, ghostwrithe, Full stack The Battle Born, 10 fenumal scorpion, exalted orb trinket, 11 The Fletcher, 5 transfigured gems that start with C, 250 quant t17 80 deli unique bosses shrined kill tul, kill kitava with guardian, lioneye's fall, piece of directions, karui ward
10 corrupted 6 links, 20 reflective oils, the magnate, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 12 large cluster 12 passive rare, 20 maps with cold main skill, marylene's fallacy, 50 quant feared with all release, sandstorm visage, 400 Chromatic Orb, double corrupted headhunter, snakepit, kill kitava, maven witness uber elder, delve max number of minion mod, valyrium, 5 tainted oil, 10 split personality, 20 maps dual wield attack main skill, 10 The Pack Leader, Full stack The Blazing Fire, tainted exalted orb, 1 each relic base type, 20 Farric Chieftain, 13 The Wolf
20 Farric Ursa, 40 Orb of Unmaking, 64 large cluster 8 passive rare, the tides of time, unid facebreaker link in global, piece of storms, rakiata's dance double corrupted, 6 tainted fusing, 250 quant t17 abyss profound depth full atlas, every ritual unique, 20 maps CI, ailment faster delve rare, kill kitava, 20 maps with triggered main skill, hyrri's ire, 20 fragmented incubator, 200 tainted armourer's, Full stack The Surveyor, the squire, 2 Craicic Maw, i85 wyvernscale gauntlets boots haunted bascinet, dissolution of the flesh, 100% deli 10 mod t16 less than 50 remain and map complete, 300 quant t17 full spec ultimatum completed, Full stack The Scholar
100 total cluster jewel notables, Full stack The Harvester, karui ward, triple wisp t17 boss, oro's sacrifice, 100 wings, non massive thread of hope, sandstorm visage, the iron fortress, 600 delve, 19 Alone in the Darkness, 4 unique relics, kill kitava, 2 Farric Wolf Alpha, Full stack The Sword King's Salute, 20 maps cast on crit main skill, 3x t1 ele or 3x t1 phys sword 6 link t1 attack speed t1 crit chance double damage chance implicits crits ignore ele res and corrupted with fortify or resolute technique, 10 craicic vassal, 100 The King's Blade, 10 split personality, 100 atlas completion, 20 Farric Chieftain, kill kitava with pathfinder, afk blight ravaged no towers or button pressing, 20 medium cluster 4 or 5 passive rare
9 deafening dread, 11 Scholar of the Seas, the poised prism, triple wisp t17 boss, kill saqawal only wearing saqawal uniques, double reservation anointed rare amulet, piece of time, 20 maps 1h attack main skill, 100 sepia oils, 2 hrimsorrow, 250 quant t17 unique boss shrined and 4 ghosts, additional merchant choice relic, kill kitava, 20 Farric Chieftain, 20 maps 0% crit chance on main skill, mark of the shaper and mark of the elder, berek's respite, 200 tainted armourer's, 1 each relic base type, 1 of each colour legion jewel, 10 Orb of Horizons, double corrupted headhunter, 10 fenumal scorpion, 5 temple mod rare belt, Saqawal First of the Sky
rathpith globe, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, forbidden flesh, 10 vagan weapon veiled, 11 The Wilted Rose, 8 mod t17, 4 bear's girdle, delve max number of minion mod, headhunter, 2 kalandra's touch, 3 forbidden shako, the light of meaning, kill kitava, ichimonji, 20 maps main skill tagged link, the writhing jar, 20 small cluster jewel rare, plus 4 hands of the high templar, Full stack The Wrath, 250 quant t17 80 deli unique bosses shrined kill beidat, fury valve, ventor's gamble, every talisman anointed, 4 grasping mail, 200 rolled currency t17 lt 50 remain
oriath's end, 4 hour a10 any duelist, 2 honourhome, turn in cards for a t0, bottled faith, pyroshock clasp, 200 tainted armourer's, 10 Craicic Shield Crab, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, 11 Blind Venture, Full stack Boundless Realms, 10 forbidden tome, kill kitava, triple wisp t17 boss, 1k Rogue's Marker, 1 of each colour legion jewel, 20 maps main skill tagged curse, rain of splinters, 4 bear's girdle, 12 large cluster 12 passive rare, 100 delirium orbs, kill kitava with warden, bisco's leash, hateforge, 2 curse impresence or soul ascension or eternity shroud
10 forbidden tome, 5 way 4 unrelenting 3 layers of rewards, 200 yellow beasts, triple nonnegative leadership's price, maelstrom of chaos, 20 maps main skill tagged slam, first letter of 3 notable cluster spells word in pob order, 20 inscribed ultimatum, 20 turbulent catalyst, the tides of time, the iron fortress, vaal caress, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, Full stack Glimmer of Hope, 11 Dying Anguish, 10 darkness enthroned, every delirium unique jewel, piece of brutality, 20 maps 1000 strength, perseverance, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, massive thread of hope, plus 7 gloves, Full stack The Aesthete
tinkerskin, oriath's end, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 20 maps main skill tagged curse, 5 transfigured gems that start with F, 5 transfigured gems that start with B, pyroshock clasp, 50 accelerating catalyst, 1 flawless xoph, lioneye's fall, 50k rogue markers, defiance of destiny, kill kitava, lochtonial caress, The Old Man, 40 unmakings, 3 large cluster jewel 3 notable, valako's sign, 20 maps with totem main skill, 10 corrupted 6 links, massive thread of hope, 250 quant t17 100 deli possessed kosis, 50 noxious catalyst, 3 gold oils, t16 rare monster with 8 essence 4 ghost 80 deli
5 carto scarab of risk unid t17 full map effect atlas, 13 Society's Remorse, 20 maps main skill tagged nova, 10 darkness enthroned, 10 The Easy Stroll, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, Full stack The Lover, rare items from each warband, 1 each relic base type, Full stack Sambodhi's Vow, sunblast, kill kitava with assassin, kill kitava, 10 Vaal Scouting Report, 20 Farric Ape, ancestral vision, 10 counter thaumatergy contract, 250 quant t17 80 deli unique bosses shrined kill ghorr, synth explode weapon, forbidden flesh, 5 every transfigured colour, 10 corroded fossil, 1 each rare cluster jewel size, Full stack Cameria's Cut, 5 lethal pride
25 Hunter's Resolve, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 9 deafening contempt, i83 omnitect at most 2 items equipped, 4.5 hour a10 scion, badge of the brotherhood, 20 maps 10k energy shield, Black Morrigan, 5 every transfigured colour, echoes of creation, 20 maps with 50 mana reservation efficiency, winterweave, kill kitava, 2 curse impresence or soul ascension or eternity shroud, Full stack The Witch, first letter of 3 notable cluster spells word in pob order, 20 Farric Ape, Full stack Rats, delve curse on hit ring, 3x t1 ele or 3x t1 phys sword 6 link t1 attack speed t1 crit chance double damage chance implicits crits ignore ele res and corrupted with fortify or resolute technique, ming's heart, Comprehensive Scouting Report, 20 tainted chrome, 1 horror essence, 20 ancient orbs
250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, kill kitava with occultist, 11 The Feast, 90 quant feared, every talisman anointed, 5 glorious vanity, intuitive leap, Full stack Rain of Chaos, The Fiend, 5 heist bases jewellery, afk blight ravaged no towers or button pressing, death's oath, kill kitava, 2 curse impresence or soul ascension or eternity shroud, 100 engineering orbs, Full stack The Hermit, 10k of each harvest juice, plus 4 hands of the high templar, 5 flawless breachstone, Operative's Scouting Report, stormshroud, 57 More is Never Enough, Full stack The Scholar, 20 maps 85 max res, 20 Farric Ursa
Full stack The Arena Champion, 10 forbidden tome, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 4 hour a10 any duelist, 200 tainted whetstone, 90 quant feared, dead reckoning, 10 simulacrum, 20 maps 1000 strength, 30 alva temples, 20 Farric Flame Hellion Alpha, oba's cursed trove, kill kitava, witchfire brew, Divine Justice, 10 Vaal Scouting Report, the tides of time, the light of meaning, firesong, Full stack Vinia's Token, 11 Blind Venture, 20 maps with phys main skill, echoes of creation, 13 Cursed Words, bottled faith
20 Blessed Orb, 20 maps dual wield attack main skill, victario's influence, shadowstitch, 20 Farric Ursa, plus 5 x gems staff t1 increased x damage or spell damage prefix suffixes 3 t1 of x damage or spell crit or global crit multi or global dot multi or x dot multi corrupted with inc area inc cast speed or power on crit chance, 5 transfigured gems that start with B, 44 The Harvester, 250 quant t17 80 deli unique bosses shrined kill ghorr, iron commander, kill kitava with pathfinder, 10 simulacrum, kill kitava, 100 abyss jewels, Full stack The Gemcutter, 5 Farric Taurus, maven witness uber elder, echoes of creation, ashes of the stars, omen of connections, 10 powerful resonator, piece of brutality, 10 fenumal scorpion, 10 influenced non eldritch shields, 90 quant feared
90 quant feared, Love Through Ice, the hateful accuser, torchoak step, impossible escape, 20 maps 0% crit chance on main skill, 18 Time-Lost Relic, 5 chests 2.5k evasion + armour or es, frostbreath, 6 tainted fusing, Full stack The Carrion Crow, 10 The Easy Stroll, kill kitava, 5 every transfigured colour, 250 quant t17 abyss profound depth full atlas, 20 maps main skill tagged bow, widowhail, piece of focus, maelstrom of chaos, Farrul First of the Plains, echoes of creation, 250 quant t17 80 deli unique bosses shrined kill ghorr, 200 astragali, tainted chaos orb, 10 fenumal scorpion
33 The Opulent, 100 total cluster jewel notables, 12 pragmatism, dead reckoning, dissolution of the flesh, southbound, windscream, 20 maps main skill tagged movement or travel or blink, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, 20 maps main skill tagged retaliation, 10 gearsets of chaos recipe, might of the meek, kill kitava, i83 catarina stand in green degen squares when they become available until end of fight, sandstorm visage, 1 flawless chayula, 20 essence constrictor, 5 lethal pride, 3 same aura watcher's, every attribute amulet anointed, 30 Craicic Savage Crab, 40 Orb of Scouring, 100 abyss jewels, cospri's will, Full stack The Web
svalinn, 4 ghost 80 deli hydra, void valdo, kill kitava with saboteur, Full stack Loyalty, 5 temple mod rare shoes, Craiceann First of the Deep, piece of brutality, oriath's end, 1 Craicic Chimeral, impossible escape, wondertrap, kill kitava, 40 exotic coinage, Full stack Cameria's Cut, 10 fenumal scorpion, shavronne's wrappings, Full stack The Metalsmith's Gift, piece of focus, double anointed amulet each anoint at least one gold, 20 maps main skill tagged vaal, 250 quant t17 80 deli unique bosses shrined kill chayula, Father's Love, 20 reflective oils, 50 noxious catalyst
caer blaidd, 5 black sun crest, 50 tainted mythic orb, 20 maps with lightning main skill, 11 The Hoarder, 300+ depth aul 2 phys as mods, 40 chisels, The Demon, thief's torment, 5 fairgraves tricorn, bottled faith, 100 sepia oils, kill kitava, 8 mod t17, 4 ghost 80 deli hydra, devouring diadem with ailment duration or mine throw speed or trigger, might of the meek, 30 alva temples, every delirium unique jewel, mark of the shaper and mark of the elder, kill kitava with scion, 20 reflective oils, 4 orb of conflict, 50 replica uniques, crest of desire
100 sepia oils, the tides of time, 134 Mitts, 40 Orb of Regret, every t1 ritual base, void valdo, 20 maps 85 max res, 20 priceless contract, 20 Farric Chieftain, bloodseeker, quad anointed non stranglegrasp, 4 ghost 80 deli hydra, kill kitava, legacy of fury, balance of terror, goldwyrm, 20 tainted chrome, 5 xoph breachstone, iron commander, upgrade a harbinger unique, 20 essence constrictor, 10 heist bases any, impossible escape, 20 maps with phys main skill, 10 corrupted 6 links
5 tainted oil, dissolution of the flesh, haemophilia, 80% deli t17 lt 50 remain and boss, 5 militant faith, the taming, fully unlock and equip relic altar, triple nonnegative leadership's price, 6 tainted fusing, kill kitava with pathfinder, every talisman anointed, Orb of Annulment, kill kitava, 4 law of the wilds, Full stack Dark Temptation, karui ward, 20 omen of refreshment, Saqawal First of the Sky, 250 quant t17 80 deli unique bosses shrined kill tul, echoes of creation, double reservation anointed rare amulet, Love Through Ice, 20 maps 100 suppression, divine orb a dragonfang you dropped, 4 hour a10 any templar
20 maps 7000 mana, 27 deafening fear, Mahuxotl's Machination, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 20 maps main skill tagged nova, 250 quant t17 abyss profound depth full atlas, 4 hour a10 any witch, sibyl's lament, 4.5 hour a10 scion, sandstorm visage, 5 heist bases jewellery, 10 Instilling Orb, kill kitava, 5 every transfigured colour, 10 counter thaumatergy contract, Full stack The Mountain, original sin relic, every breach jewel, the poised prism, 1 each relic base type, 20 Farric Ape, 400 Chromatic Orb, 25 The Adventuring Spirit, 20 Craicic Watcher, 10k of each harvest juice
11 Forbidden Power, 5 carto scarab of risk unid t17 full map effect atlas, alpha's howl, 20 maps 1000 int, plus 4 hands of the high templar, kill farrul with only farrul uniques equipped, 20 craicic squid, 5 heist bases jewellery, ulaman's gaze, Full stack The Carrion Crow, drop a t0, 20 maps 1h attack main skill, kill kitava, 10 craicic vassal, sandstorm visage, 200 delve, 28 Thunderous Skies, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, every delirium unique jewel, 28 Dark Temptation, 3x watcher's eye, Full stack Prosperity, replica baited breath, 10 forbidden tome, 12 pragmatism
200 tainted armourer's, Angler's plait, unnatural instinct, 600 delve, 20 maps 70% crit chance on main skill, Full stack The Tireless Extractor, oriath's end, 50 tainted mythic orb, 50 Lesser Eldritch Ember, 17 The Dragon, 20 maps bleed or poison main skill, andvarius, kill kitava, whakawairua tuahu, 11 Coveted Possession, 100x onyx amulet, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 19 The Tower, 100% deli 10 mod t16 less than 50 remain and map complete, delve curse on hit ring, Saqawal First of the Sky, 10k of each harvest juice, additional room revealed relic, 5 every transfigured colour, plus 4 hands of the high templar
